interaction_id,customer_id,product_id,interaction_type,interaction_score,rating,quantity,timestamp
INT0000097,CUST00006,PROD00015,purchase,1.0,,1,2025-11-15
INT0000098,CUST00006,PROD00017,cart,0.611,,1,2025-03-10
INT0000099,CUST00006,PROD00006,purchase,1.0,,1,2025-07-06
INT0000100,CUST00006,PROD00189,view,0.094,,1,2026-04-13
INT0000101,CUST00006,PROD00069,view,0.103,,1,2026-05-21
INT0000102,CUST00006,PROD00082,cart,0.614,,1,2026-01-14
INT0000103,CUST00006,PROD00241,purchase,0.97,,1,2025-05-15
INT0000104,CUST00006,PROD00132,wishlist,0.331,,1,2025-07-06
INT0000105,CUST00006,PROD00159,cart,0.724,,1,2026-06-08
INT0000106,CUST00006,PROD00121,view,0.104,,1,2026-03-26
INT0000107,CUST00006,PROD00018,view,0.062,,1,2025-06-21
INT0000108,CUST00007,PROD00239,view,0.101,,1,2026-02-09
INT0000109,CUST00007,PROD00033,rating,0.856,5.0,1,2025-01-08
INT0000110,CUST00007,PROD00222,cart,0.612,,1,2026-02-15
INT0000111,CUST00007,PROD00047,wishlist,0.383,,1,2025-11-01
INT0000112,CUST00007,PROD00031,purchase,0.958,,1,2026-04-01
INT0000113,CUST00007,PROD00188,cart,0.7,,1,2025-09-12
INT0000114,CUST00007,PROD00205,cart,0.687,,1,2025-06-17
INT0000115,CUST00007,PROD00088,purchase,1.0,,1,2026-06-03
INT0000116,CUST00007,PROD00035,view,0.135,,1,2026-04-07
INT0000117,CUST00007,PROD00130,cart,0.607,,1,2025-01-14
INT0000118,CUST00007,PROD00105,purchase,1.0,,1,2025-06-23
INT0000119,CUST00007,PROD00008,view,0.116,,1,2026-05-30
INT0000120,CUST00007,PROD00138,purchase,0.856,,1,2025-10-30
INT0000121,CUST00007,PROD00165,cart,0.714,,1,2025-07-19
INT0000122,CUST00007,PROD00141,view,0.121,,1,2026-02-17
INT0000123,CUST00008,PROD00112,cart,0.575,,1,2025-12-26
INT0000124,CUST00008,PROD00030,view,0.135,,1,2026-02-17
INT0000125,CUST00008,PROD00187,purchase,0.99,,1,2025-01-20
INT0000126,CUST00008,PROD00095,view,0.16,,1,2025-05-02
INT0000127,CUST00008,PROD00225,view,0.062,,1,2026-02-05
INT0000128,CUST00008,PROD00138,purchase,1.0,,2,2025-04-28
INT0000129,CUST00008,PROD00089,view,0.139,,1,2025-03-02
INT0000130,CUST00008,PROD00248,view,0.122,,1,2025-09-27
INT0000131,CUST00008,PROD00190,wishlist,0.419,,1,2025-04-11
INT0000132,CUST00008,PROD00098,view,0.061,,1,2025-10-20
INT0000133,CUST00008,PROD00095,view,0.152,,1,2025-10-14
INT0000134,CUST00008,PROD00174,rating,0.872,4.0,1,2025-07-22
INT0000135,CUST00008,PROD00046,purchase,0.975,,1,2026-03-22
INT0000136,CUST00008,PROD00123,view,0.13,,1,2026-04-30
INT0000137,CUST00008,PROD00205,purchase,1.0,,1,2026-05-02
INT0000138,CUST00008,PROD00198,view,0.05,,1,2026-01-02
INT0000139,CUST00008,PROD00029,view,0.075,,1,2025-01-09
INT0000140,CUST00008,PROD00123,purchase,0.871,,1,2025-05-19
INT0000141,CUST00008,PROD00005,view,0.077,,1,2025-09-17
INT0000142,CUST00008,PROD00037,rating,0.748,3.0,1,2026-01-04
INT0000143,CUST00008,PROD00121,view,0.096,,1,2025-06-17
INT0000144,CUST00008,PROD00190,view,0.096,,1,2025-03-15
INT0000145,CUST00008,PROD00011,view,0.106,,1,2026-05-30
INT0000146,CUST00008,PROD00223,purchase,1.0,,1,2025-12-01
INT0000147,CUST00008,PROD00200,cart,0.671,,1,2026-05-20
INT0000148,CUST00008,PROD00138,purchase,1.0,,1,2025-01-23
INT0000149,CUST00008,PROD00104,view,0.129,,1,2025-04-19
INT0000150,CUST00008,PROD00195,wishlist,0.337,,1,2026-05-05
INT0000151,CUST00009,PROD00032,cart,0.763,,1,2025-12-02
INT0000152,CUST00009,PROD00087,purchase,1.0,,1,2025-08-20
INT0000153,CUST00009,PROD00109,view,0.108,,1,2025-12-23
INT0000154,CUST00009,PROD00046,view,0.132,,1,2026-03-10
INT0000155,CUST00009,PROD00082,view,0.107,,1,2025-10-26
INT0000156,CUST00009,PROD00097,cart,0.639,,1,2025-11-21
INT0000157,CUST00009,PROD00161,rating,0.784,4.0,1,2026-06-09
INT0000158,CUST00009,PROD00108,view,0.084,,1,2025-02-21
INT0000159,CUST00009,PROD00086,view,0.122,,1,2025-05-15
INT0000160,CUST00009,PROD00188,view,0.079,,1,2026-06-08
INT0000161,CUST00009,PROD00169,view,0.126,,1,2025-01-24
INT0000162,CUST00009,PROD00173,view,0.152,,1,2025-10-07
INT0000163,CUST00009,PROD00114,cart,0.57,,1,2025-06-29
INT0000164,CUST00009,PROD00090,rating,0.965,5.0,1,2026-03-29
INT0000165,CUST00009,PROD00122,wishlist,0.346,,1,2025-01-24
INT0000166,CUST00009,PROD00095,view,0.118,,1,2026-04-23
INT0000167,CUST00009,PROD00242,cart,0.603,,1,2026-01-29
INT0000168,CUST00009,PROD00206,view,0.139,,1,2025-12-04
INT0000169,CUST00009,PROD00108,view,0.084,,1,2025-08-22
INT0000170,CUST00009,PROD00042,purchase,0.992,,1,2026-04-06
INT0000171,CUST00009,PROD00110,view,0.092,,1,2026-05-23
INT0000172,CUST00009,PROD00011,purchase,1.0,,1,2025-11-08
INT0000173,CUST00009,PROD00096,view,0.072,,1,2025-09-10
INT0000174,CUST00009,PROD00190,wishlist,0.362,,1,2026-06-30
INT0000175,CUST00009,PROD00070,purchase,0.923,,2,2026-07-09
INT0000176,CUST00009,PROD00150,view,0.087,,1,2025-03-18
INT0000177,CUST00009,PROD00024,cart,0.567,,1,2025-02-02
INT0000178,CUST00009,PROD00110,purchase,0.994,,1,2026-05-04
INT0000179,CUST00010,PROD00117,view,0.086,,1,2025-05-04
INT0000180,CUST00010,PROD00116,purchase,0.999,,1,2025-06-13
INT0000181,CUST00010,PROD00119,view,0.12,,1,2025-02-23
INT0000182,CUST00010,PROD00226,view,0.111,,1,2025-06-29
INT0000183,CUST00010,PROD00086,view,0.131,,1,2026-04-08
INT0000184,CUST00010,PROD00073,purchase,0.933,,1,2025-07-24
INT0000185,CUST00010,PROD00155,purchase,1.0,,1,2025-05-15
INT0000186,CUST00010,PROD00135,purchase,0.999,,1,2025-01-06
INT0000187,CUST00010,PROD00143,purchase,0.931,,1,2025-10-13
INT0000188,CUST00010,PROD00169,view,0.089,,1,2026-04-27
INT0000189,CUST00010,PROD00179,view,0.117,,1,2025-01-30
INT0000190,CUST00010,PROD00087,view,0.05,,1,2026-04-05
INT0000191,CUST00010,PROD00002,purchase,0.914,,1,2025-09-06
INT0000192,CUST00010,PROD00191,view,0.065,,1,2025-03-28
INT0000193,CUST00010,PROD00156,purchase,1.0,,1,2025-02-10
INT0000194,CUST00010,PROD00217,view,0.079,,1,2026-06-28
INT0000195,CUST00011,PROD00129,rating,0.703,3.0,1,2026-06-20
INT0000196,CUST00011,PROD00243,wishlist,0.404,,1,2025-03-09
INT0000197,CUST00011,PROD00230,view,0.137,,1,2025-10-01
INT0000198,CUST00011,PROD00242,purchase,1.0,,1,2025-02-27
INT0000199,CUST00011,PROD00072,purchase,0.979,,1,2025-05-18
INT0000200,CUST00011,PROD00057,view,0.065,,1,2025-03-07
INT0000201,CUST00011,PROD00204,view,0.097,,1,2025-11-08
INT0000202,CUST00011,PROD00100,purchase,1.0,,1,2025-12-23
INT0000203,CUST00011,PROD00249,purchase,0.927,,2,2025-12-09
INT0000204,CUST00011,PROD00012,purchase,1.0,,2,2025-03-29
INT0000205,CUST00011,PROD00106,view,0.129,,1,2025-10-12
INT0000206,CUST00011,PROD00097,view,0.086,,1,2025-03-09
INT0000207,CUST00011,PROD00064,wishlist,0.394,,1,2026-07-14
INT0000208,CUST00011,PROD00008,purchase,1.0,,1,2026-04-17
INT0000209,CUST00011,PROD00100,purchase,1.0,,1,2025-02-10
INT0000210,CUST00011,PROD00016,view,0.157,,1,2026-01-24
INT0000211,CUST00011,PROD00061,purchase,1.0,,1,2025-03-26
INT0000212,CUST00011,PROD00108,purchase,1.0,,1,2025-01-08
INT0000213,CUST00011,PROD00164,purchase,0.956,,1,2025-01-22
INT0000214,CUST00011,PROD00177,view,0.093,,1,2026-04-15
INT0000215,CUST00011,PROD00055,view,0.066,,1,2025-02-19
INT0000216,CUST00011,PROD00165,view,0.058,,1,2025-06-13
INT0000217,CUST00011,PROD00018,view,0.101,,1,2025-12-16
INT0000218,CUST00011,PROD00230,view,0.135,,1,2025-05-22
INT0000219,CUST00011,PROD00078,cart,0.655,,1,2026-02-02
INT0000220,CUST00011,PROD00148,view,0.074,,1,2025-12-05
INT0000221,CUST00011,PROD00091,wishlist,0.339,,1,2026-06-06
INT0000222,CUST00011,PROD00175,purchase,1.0,,1,2025-03-04
INT0000223,CUST00012,PROD00050,view,0.132,,1,2025-04-28
INT0000224,CUST00012,PROD00180,wishlist,0.403,,1,2025-03-30
INT0000225,CUST00012,PROD00030,purchase,0.956,,1,2025-11-07
INT0000226,CUST00012,PROD00221,wishlist,0.25,,1,2026-02-09
INT0000227,CUST00012,PROD00149,rating,0.872,3.0,1,2025-01-18
INT0000228,CUST00012,PROD00101,view,0.126,,1,2025-10-15
INT0000229,CUST00012,PROD00224,cart,0.584,,1,2026-04-03
INT0000230,CUST00012,PROD00002,view,0.137,,1,2025-02-11
INT0000231,CUST00012,PROD00179,view,0.103,,1,2025-04-13
INT0000232,CUST00012,PROD00236,purchase,0.928,,1,2025-02-24
INT0000233,CUST00012,PROD00141,purchase,1.0,,1,2025-03-15
INT0000234,CUST00012,PROD00141,purchase,0.976,,1,2026-01-08
INT0000235,CUST00012,PROD00176,purchase,0.899,,1,2025-09-14
INT0000236,CUST00012,PROD00139,rating,0.831,5.0,1,2026-05-18
INT0000237,CUST00012,PROD00032,view,0.05,,1,2025-02-16
INT0000238,CUST00012,PROD00223,purchase,0.927,,1,2026-03-15
INT0000239,CUST00012,PROD00028,view,0.12,,1,2026-03-26
INT0000240,CUST00012,PROD00229,view,0.099,,1,2025-07-01
INT0000241,CUST00012,PROD00059,rating,0.799,4.0,1,2026-02-16
INT0000242,CUST00012,PROD00219,purchase,0.945,,1,2026-04-28
INT0000243,CUST00012,PROD00231,purchase,0.952,,1,2026-07-05
INT0000244,CUST00012,PROD00247,wishlist,0.302,,1,2025-03-01
INT0000245,CUST00012,PROD00185,purchase,1.0,,1,2026-02-26
INT0000246,CUST00012,PROD00190,view,0.133,,1,2026-05-24
INT0000247,CUST00012,PROD00123,wishlist,0.384,,1,2025-09-05
INT0000248,CUST00012,PROD00050,view,0.137,,1,2026-06-24
INT0000249,CUST00012,PROD00065,purchase,1.0,,1,2025-06-27
INT0000250,CUST00012,PROD00116,purchase,0.903,,2,2025-10-24
INT0000251,CUST00012,PROD00208,purchase,0.925,,1,2025-08-25
INT0000252,CUST00012,PROD00239,cart,0.636,,1,2025-02-19
INT0000253,CUST00012,PROD00146,purchase,0.99,,1,2025-11-24
INT0000254,CUST00012,PROD00074,purchase,1.0,,1,2025-02-25
INT0000255,CUST00012,PROD00032,view,0.115,,1,2025-11-06
INT0000256,CUST00014,PROD00077,purchase,0.951,,1,2025-03-01
INT0000257,CUST00014,PROD00050,purchase,1.0,,1,2025-06-20
INT0000258,CUST00014,PROD00028,view,0.05,,1,2026-05-09
INT0000259,CUST00014,PROD00188,cart,0.526,,1,2026-02-11
INT0000260,CUST00014,PROD00231,view,0.154,,1,2025-03-25
INT0000261,CUST00014,PROD00098,wishlist,0.433,,1,2026-02-01
INT0000262,CUST00014,PROD00150,view,0.078,,1,2026-04-25
INT0000263,CUST00014,PROD00018,view,0.106,,1,2025-11-15
INT0000264,CUST00014,PROD00143,rating,0.861,4.0,1,2025-06-13
INT0000265,CUST00014,PROD00228,purchase,1.0,,1,2025-03-17
INT0000266,CUST00014,PROD00039,view,0.15,,1,2025-11-08
INT0000267,CUST00014,PROD00043,cart,0.64,,1,2025-01-14
INT0000268,CUST00014,PROD00041,purchase,1.0,,1,2025-07-21
INT0000269,CUST00014,PROD00121,view,0.054,,1,2025-06-10
INT0000270,CUST00014,PROD00023,purchase,1.0,,2,2026-06-02
INT0000271,CUST00014,PROD00248,wishlist,0.377,,1,2026-06-17
INT0000272,CUST00015,PROD00124,view,0.061,,1,2025-03-01
INT0000273,CUST00015,PROD00134,purchase,1.0,,1,2025-06-19
INT0000274,CUST00015,PROD00106,purchase,1.0,,1,2025-11-19
INT0000275,CUST00015,PROD00057,view,0.142,,1,2025-09-10
INT0000276,CUST00015,PROD00116,cart,0.672,,1,2025-03-17
INT0000277,CUST00015,PROD00072,purchase,0.938,,1,2026-02-02
INT0000278,CUST00015,PROD00117,purchase,1.0,,1,2025-12-01
INT0000279,CUST00015,PROD00132,purchase,1.0,,1,2025-09-02
INT0000280,CUST00015,PROD00017,purchase,0.878,,1,2026-05-06
INT0000281,CUST00015,PROD00092,wishlist,0.349,,1,2025-09-16
INT0000282,CUST00015,PROD00044,purchase,1.0,,1,2026-04-13
INT0000283,CUST00015,PROD00008,cart,0.633,,1,2026-04-12
INT0000284,CUST00015,PROD00078,purchase,0.981,,1,2025-08-17
INT0000285,CUST00015,PROD00175,cart,0.672,,1,2026-07-29
INT0000286,CUST00015,PROD00003,view,0.103,,1,2026-07-20
INT0000287,CUST00015,PROD00097,rating,0.735,5.0,1,2025-06-02
INT0000288,CUST00015,PROD00197,cart,0.638,,1,2025-05-26
INT0000289,CUST00017,PROD00016,purchase,1.0,,2,2025-03-05
INT0000290,CUST00017,PROD00039,view,0.074,,1,2026-05-20
INT0000291,CUST00017,PROD00097,view,0.152,,1,2025-01-01
INT0000292,CUST00017,PROD00122,purchase,1.0,,1,2026-04-04
INT0000293,CUST00017,PROD00118,wishlist,0.342,,1,2026-06-29
INT0000294,CUST00017,PROD00085,rating,0.803,5.0,1,2025-01-05
INT0000295,CUST00017,PROD00055,cart,0.686,,1,2025-04-18
INT0000296,CUST00017,PROD00161,rating,0.784,4.0,1,2025-10-28
INT0000297,CUST00017,PROD00087,view,0.085,,1,2026-02-25
INT0000298,CUST00017,PROD00076,purchase,1.0,,2,2026-05-26
INT0000299,CUST00017,PROD00228,purchase,1.0,,1,2025-04-09
INT0000300,CUST00017,PROD00238,rating,0.886,4.0,1,2025-07-28
INT0000301,CUST00017,PROD00160,view,0.129,,1,2025-08-11
INT0000302,CUST00017,PROD00196,view,0.106,,1,2025-05-21
INT0000303,CUST00017,PROD00008,cart,0.584,,1,2025-08-30
INT0000304,CUST00017,PROD00111,view,0.155,,1,2025-10-07
INT0000305,CUST00017,PROD00024,purchase,0.969,,2,2025-05-08
INT0000306,CUST00017,PROD00110,view,0.15,,1,2025-10-23
INT0000307,CUST00017,PROD00181,rating,0.726,4.0,1,2026-05-24
INT0000308,CUST00017,PROD00228,wishlist,0.453,,1,2026-06-12
INT0000309,CUST00017,PROD00112,cart,0.692,,1,2026-01-12
INT0000310,CUST00017,PROD00032,view,0.092,,1,2025-04-14
INT0000311,CUST00017,PROD00165,cart,0.657,,1,2026-06-21
INT0000312,CUST00017,PROD00110,view,0.127,,1,2025-10-19
INT0000313,CUST00017,PROD00111,purchase,1.0,,1,2025-03-31
INT0000314,CUST00017,PROD00229,view,0.114,,1,2026-02-19
INT0000315,CUST00017,PROD00032,cart,0.713,,1,2025-11-15
INT0000316,CUST00017,PROD00217,purchase,0.927,,1,2025-08-15
INT0000317,CUST00017,PROD00150,cart,0.655,,1,2026-04-13
INT0000318,CUST00017,PROD00164,cart,0.501,,1,2026-02-10
INT0000319,CUST00018,PROD00071,cart,0.509,,1,2025-07-21
INT0000320,CUST00018,PROD00240,wishlist,0.399,,1,2025-01-08
INT0000321,CUST00018,PROD00021,purchase,1.0,,1,2025-11-06
INT0000322,CUST00018,PROD00183,view,0.167,,1,2026-07-06
INT0000323,CUST00018,PROD00056,rating,0.892,3.0,1,2026-07-20
INT0000324,CUST00018,PROD00087,purchase,0.946,,1,2026-04-17
INT0000325,CUST00018,PROD00088,wishlist,0.318,,1,2025-12-22
INT0000326,CUST00018,PROD00097,view,0.069,,1,2026-07-01
INT0000327,CUST00018,PROD00200,purchase,1.0,,1,2025-11-03
INT0000328,CUST00018,PROD00051,purchase,1.0,,2,2026-01-08
INT0000329,CUST00018,PROD00132,view,0.137,,1,2025-02-08
INT0000330,CUST00018,PROD00233,view,0.148,,1,2026-01-19
INT0000331,CUST00018,PROD00223,purchase,1.0,,1,2025-11-04
INT0000332,CUST00018,PROD00056,view,0.092,,1,2026-01-09
INT0000333,CUST00018,PROD00160,view,0.127,,1,2025-07-14
INT0000334,CUST00018,PROD00140,rating,0.724,4.0,1,2025-08-11
INT0000335,CUST00018,PROD00104,purchase,1.0,,1,2025-01-03
INT0000336,CUST00018,PROD00192,purchase,1.0,,1,2025-06-04
INT0000337,CUST00018,PROD00006,cart,0.673,,1,2025-06-03
INT0000338,CUST00018,PROD00037,purchase,1.0,,1,2025-11-09
INT0000339,CUST00018,PROD00058,purchase,1.0,,1,2025-09-11
INT0000340,CUST00018,PROD00155,rating,0.845,2.0,1,2026-02-20
INT0000341,CUST00018,PROD00072,rating,0.731,4.0,1,2026-04-07
INT0000342,CUST00018,PROD00056,wishlist,0.348,,1,2026-04-17
INT0000343,CUST00018,PROD00146,view,0.153,,1,2026-05-01
INT0000344,CUST00019,PROD00225,purchase,0.988,,1,2025-02-21
INT0000345,CUST00019,PROD00241,view,0.129,,1,2025-08-10
INT0000346,CUST00019,PROD00002,view,0.14,,1,2025-09-15
INT0000347,CUST00019,PROD00036,wishlist,0.37,,1,2026-03-21
INT0000348,CUST00019,PROD00027,cart,0.534,,1,2025-11-30
INT0000349,CUST00019,PROD00234,view,0.146,,1,2026-03-30
INT0000350,CUST00019,PROD00042,view,0.131,,1,2026-05-23
INT0000351,CUST00019,PROD00076,view,0.121,,1,2026-02-24
INT0000352,CUST00019,PROD00117,view,0.106,,1,2026-05-31
INT0000353,CUST00019,PROD00003,wishlist,0.303,,1,2025-03-03
INT0000354,CUST00019,PROD00164,cart,0.629,,1,2026-02-16
INT0000355,CUST00019,PROD00246,view,0.104,,1,2026-06-05
INT0000356,CUST00019,PROD00202,view,0.096,,1,2026-02-11
INT0000357,CUST00019,PROD00015,purchase,1.0,,1,2025-02-11
INT0000358,CUST00019,PROD00242,view,0.136,,1,2026-05-03
INT0000359,CUST00019,PROD00054,cart,0.573,,1,2025-07-22
INT0000360,CUST00019,PROD00188,purchase,0.966,,1,2026-01-22
INT0000361,CUST00019,PROD00189,purchase,1.0,,1,2025-08-02
INT0000362,CUST00019,PROD00002,purchase,1.0,,3,2025-10-18
INT0000363,CUST00019,PROD00092,view,0.139,,1,2026-01-24
INT0000364,CUST00019,PROD00168,view,0.05,,1,2025-06-16
INT0000365,CUST00019,PROD00140,purchase,1.0,,1,2025-09-28
INT0000366,CUST00019,PROD00036,cart,0.654,,1,2026-07-06
INT0000367,CUST00019,PROD00073,cart,0.575,,1,2025-05-11
INT0000368,CUST00019,PROD00069,wishlist,0.306,,1,2025-06-10
INT0000369,CUST00019,PROD00237,rating,0.871,3.0,1,2026-06-12
INT0000370,CUST00019,PROD00094,cart,0.616,,1,2026-07-25
INT0000371,CUST00020,PROD00085,view,0.082,,1,2026-03-17
INT0000372,CUST00021,PROD00239,view,0.055,,1,2026-01-11
INT0000373,CUST00021,PROD00161,view,0.083,,1,2026-06-30
INT0000374,CUST00021,PROD00009,view,0.073,,1,2025-11-03
INT0000375,CUST00021,PROD00156,cart,0.659,,1,2025-02-12
INT0000376,CUST00021,PROD00081,rating,0.821,5.0,1,2026-06-01
INT0000377,CUST00021,PROD00169,purchase,1.0,,1,2025-10-04
INT0000378,CUST00021,PROD00177,view,0.096,,1,2025-05-02
INT0000379,CUST00021,PROD00119,view,0.061,,1,2025-07-15
INT0000380,CUST00021,PROD00035,wishlist,0.342,,1,2026-07-02
INT0000381,CUST00021,PROD00112,view,0.1,,1,2026-03-04
INT0000382,CUST00021,PROD00236,view,0.066,,1,2025-06-14
INT0000383,CUST00021,PROD00112,view,0.099,,1,2026-04-13
INT0000384,CUST00021,PROD00158,view,0.11,,1,2026-05-05
INT0000385,CUST00021,PROD00041,cart,0.597,,1,2025-12-18
INT0000386,CUST00021,PROD00033,wishlist,0.325,,1,2025-05-03
INT0000387,CUST00021,PROD00034,wishlist,0.303,,1,2026-02-02
INT0000388,CUST00021,PROD00202,purchase,1.0,,1,2026-01-30
INT0000389,CUST00021,PROD00167,wishlist,0.332,,1,2026-02-28
INT0000390,CUST00021,PROD00043,wishlist,0.304,,1,2026-01-28
INT0000391,CUST00021,PROD00011,cart,0.534,,1,2025-06-14
INT0000392,CUST00021,PROD00033,wishlist,0.359,,1,2025-01-15
INT0000393,CUST00021,PROD00115,view,0.098,,1,2026-04-05
INT0000394,CUST00021,PROD00156,view,0.111,,1,2025-09-13
